n_perturb,pe_late,g_norm_late,alpha_late,zone0_frac,zone1_frac,zone2_frac,zone3_frac,zone4_frac
0,0.013621580856861935,3.2088278359770777,0.28989836884662507,0.0,0.0,0.03183333333333333,0.044,0.9241666666666667
1,0.014461874906866191,3.1773666132887204,0.26350934939831494,0.0,0.0,0.03933333333333333,0.0595,0.9011666666666667
2,0.01319396750331119,3.159597769300143,0.1391582032913963,0.0,0.0,0.025166666666666667,0.04416666666666667,0.9306666666666666
3,0.01349064079930152,3.1374156328439713,0.15653534900397062,0.0,0.0,0.0295,0.04716666666666667,0.9233333333333333
4,0.013541678603602728,3.153244367082914,0.1702928449039658,0.0,0.0,0.0305,0.043666666666666666,0.9258333333333333
5,0.013614200320706005,3.1127133296926814,0.23272914280369877,0.0,0.0,0.03233333333333333,0.04066666666666666,0.927
6,0.014505824612278957,3.1192692852417627,0.29624570372203984,0.0,0.0,0.03216666666666667,0.04783333333333333,0.92
