alpha,valence,n_p1_seeds,n_p2_seeds,mean_pred_loss_median,mean_pred_loss_q1,mean_pred_loss_q3,mean_delta_g_median,mean_delta_g_q1,mean_delta_g_q3,mean_energy_median,mean_energy_q1,mean_energy_q3,mean_entropy_median,mean_entropy_q1,mean_entropy_q3,mean_alpha_median,mean_alpha_q1,mean_alpha_q3,g_shift_median,g_shift_q1,g_shift_q3,switches_median,switches_q1,switches_q3
0.05,SSSS,5,6,0.05968698714156183,0.058076708119306215,0.059955740672806,0.0856771951566795,0.0828953954320918,0.08777228026962709,0.05020950188123216,0.04867077856281367,0.05119182324979165,1.2679104848804297,1.263318802760983,1.2724074173190527,0.05000000074505806,0.05000000074505806,0.05000000074505806,1.426559947046141,1.375535123470343,1.6691829599476316,0.3844444444444445,0.3336111111111111,0.44027777777777777
0.05,MMMM,5,6,0.06645871635213413,0.06555400548128484,0.06726276403443987,0.08400754953497977,0.07798918164422325,0.08843047602510593,0.04669695862128995,0.04541556336448153,0.04851225490116695,1.3020267995984467,1.297707872548865,1.3083315870358436,0.05000000074505806,0.05000000074505806,0.05000000074505806,1.494651678201432,1.376556007997133,1.5980083062220363,0.3883333333333333,0.3252777777777778,0.4605555555555556
0.1,SSSS,5,6,0.057531915426173544,0.05584549993831272,0.05781646829270418,0.10394566958255816,0.09981904195722294,0.10598086294526823,0.050058742900195324,0.046600564553384904,0.051869343054136784,1.284667395232563,1.272932687102424,1.293801442372854,0.10000000149011612,0.10000000149011612,0.10000000149011612,1.2953361177578981,1.2209829764171607,1.3593220744990848,0.5361111111111111,0.4258333333333333,0.6263888888888889
0.1,MMMM,5,6,0.06360755915459401,0.06295673232398347,0.06459669725676875,0.09541652970761713,0.09235361422465331,0.09917740011867066,0.045831590359917136,0.043585126097019145,0.047304539545203986,1.312498064579235,1.3056627517210666,1.3154565352495622,0.10000000149011612,0.10000000149011612,0.10000000149011612,1.2180451145747468,1.1306297530099334,1.322868581249689,0.44499999999999995,0.4022222222222222,0.49027777777777776
0.2,SSSS,5,6,0.052133550918664825,0.05124335347577421,0.054361145272391144,0.10978886918311195,0.10749699462257717,0.1098997891910596,0.04474302869895581,0.04374268867609596,0.04570250370670099,1.2877367487159042,1.273702497166892,1.29159016430974,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.8266093700461918,0.7784752885904163,1.0841056378025353,0.41277777777777774,0.26,0.6680555555555555
0.2,MMMM,5,6,0.056216233292418094,0.05573807341047893,0.0592343768600396,0.1014798100482715,0.09700452048221399,0.10742883825144084,0.04283899050720782,0.04175582887247405,0.04325286794442164,1.3079347906854417,1.2917522648877016,1.3117196000420936,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.9810118706162191,0.8568175366753712,1.1889909968670043,0.4261111111111111,0.1613888888888889,0.6616666666666666
0.3,SSSS,5,6,0.048739191250847566,0.04848551769960137,0.051802883748890166,0.10184817153473519,0.1003143380658871,0.10593335666874011,0.0403905058682216,0.038924818378587946,0.043046775023955895,1.2766185262093943,1.2705222366436213,1.282456583630818,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.6813902165011192,0.5911536055125503,0.9505051988505553,0.4738888888888889,0.25222222222222224,0.758888888888889
0.3,MMMM,5,6,0.05307968001617798,0.051815836108085614,0.05527082638822919,0.10296428808565883,0.09901413815681186,0.1059574052147669,0.03971150928237627,0.03775891045233287,0.041211267511328975,1.3020632196914268,1.2970037235216962,1.3079465233341412,0.30000001192092896,0.30000001192092896,0.30000001192092896,0.7720654980020805,0.6090576385515225,0.9865479991150399,0.44833333333333336,0.12722222222222224,0.6752777777777779
