n_perturb,pe_late,g_norm_late,alpha_late,zone0_frac,zone1_frac,zone2_frac,zone3_frac,zone4_frac
0,0.045456414114974905,3.9028516238331794,0.2893059776400526,0.7416666666666667,0.12333333333333334,0.039,0.005333333333333333,0.09066666666666667
1,0.04314355784794316,3.8723505183060962,0.2999987201094627,0.9345,0.033,0.03233333333333333,0.00016666666666666666,0.0
2,0.04112506993710607,3.769382038315137,0.29592733590304854,0.8915,0.0295,0.029166666666666667,0.0023333333333333335,0.0475
3,0.04280957022596461,3.6812668326298397,0.2857963194238643,0.89,0.03166666666666667,0.031,0.0031666666666666666,0.04416666666666667
4,0.04396293887606589,3.6513903830846153,0.29977437511707344,0.9215,0.043166666666666666,0.032,0.0033333333333333335,0.0
5,0.04297202464259074,3.458830776611964,0.1845891842332979,0.9508333333333333,0.026166666666666668,0.023,0.0,0.0
6,0.04290266611861686,3.493521355231603,0.2661409421004355,0.9508333333333333,0.0285,0.020666666666666667,0.0,0.0
