p1,p2,total_var_null,total_var_g2,total_var_ratio,pr_null,pr_g2,pr_ratio,pc1_angle_deg,n_probes
0,0,5.720859094512144,8.376608567096142,1.464222143686703,1.1214129025026836,1.0538497970296954,0.9397518029958404,28.330679190768162,25
0,1,5.823025880583813,9.73096006908639,1.6711174342420696,1.1159834172122811,1.0539692755141257,0.9444309469641885,27.068845690970154,25
0,2,5.830994267198835,8.887984453769807,1.5242656820582892,1.1206242016441679,1.0537350206809657,0.9403107831643622,28.62328260729201,25
0,3,5.855484456859152,9.33699231949171,1.5945721294767161,1.1192437849519121,1.0517487037940314,0.9396958177786258,27.525975894286002,25
0,4,5.795150662589134,10.075773993608713,1.7386560902813697,1.1171476729585375,1.0513908185876486,0.9411386193942066,27.05938961027562,25
0,5,5.793052741249882,10.761380960906706,1.857635592419081,1.1168282657841289,1.0523761611234794,0.9422900488506195,24.01437702476946,25
1,0,7.954281615566234,8.8537587297465,1.1130808736291185,1.0601714367530324,1.0819845783488764,1.0205751077982734,20.359010027469207,25
1,1,7.64048712406349,12.95517402235565,1.6955952954300137,1.0609100104109896,1.0302593084022096,0.9711090462829113,29.750221195569093,25
1,2,7.49789888624474,11.701596489194742,1.5606500790057185,1.0627724760887158,1.0375333076742512,0.976251578788198,22.60899749594925,25
1,3,7.693231932860957,8.824377072905667,1.147031202219853,1.0616449528834766,1.0376787995066545,0.9774254534797826,27.363929213587003,25
1,4,7.732802900236052,15.943939764862582,2.061857772732818,1.05902665017448,1.0293125975796464,0.9719421106258864,26.519215342007737,25
1,5,7.806708933628437,11.188401588027691,1.4331777555881664,1.0600793945270288,1.0331583356574383,0.9746046767736658,24.50785255533332,25
2,0,6.736027828966,11.188893661843471,1.661052172873965,1.1948195414092997,1.093050651590408,0.9148248866947267,21.9979403057585,25
2,1,6.812706313165006,10.648574895746176,1.563046226602879,1.1911511895061675,1.0850504798004856,0.9109259087843672,21.790578265529028,25
2,2,6.903418435879933,11.541342687985935,1.6718300933347432,1.1890827945677165,1.0686851399112651,0.898747458792202,25.201974464130835,25
2,3,7.098488362106202,13.434256958643722,1.8925518044601861,1.1910196558900201,1.0891037432031287,0.9144296971230654,23.870186865628035,25
2,4,7.015318643417433,11.083338243112255,1.5798766679702994,1.194729430922551,1.1171678819214796,0.9350802390954918,23.505996244604297,25
2,5,6.920144711296173,11.786377072652668,1.703198063678213,1.1916555834810414,1.0986938146465586,0.9219893985115022,23.030760831315483,25
3,0,4.158762160391181,7.280101916704339,1.750545387288885,1.1932607210429398,1.10763049042712,0.9282384569392539,25.803892953378217,25
3,1,4.159839007221675,8.41994058285553,2.0241025117169484,1.199205680048749,1.086988458614322,0.9064237075412575,27.9631568337727,25
3,2,4.161900065801114,7.476864938405471,1.7965027559993243,1.201254256187992,1.0861694649777962,0.9041961428087665,28.62571940369034,25
3,3,4.191744494472775,7.053742296750304,1.6827700987145933,1.2003737274218675,1.1046577970251876,0.9202615583712781,17.732360250881463,25
3,4,3.944698658354617,7.521464365349409,1.9067272348977617,1.188925526841975,1.1434074751892227,0.9617149681581341,16.30634323051352,25
3,5,4.139645912662136,6.137150071310812,1.4825301972177893,1.2028799682953648,1.1319697710764023,0.9410496482708484,14.666825901011592,25
4,0,6.609903281495825,18.972541761690717,2.8703206315898195,1.1024247087116004,1.0652898884714355,0.9663153229905703,36.52163528185813,25
4,1,6.444022455431018,14.526412466561265,2.2542460966004882,1.1046022882508622,1.06895219881696,0.9677258595124276,32.37977505811458,25
4,2,6.271139219129927,14.915583927070465,2.378448860068504,1.1036301855020343,1.0663235108238747,0.9661963987862573,36.36445306423338,25
4,3,6.447797309887999,14.938888640087685,2.3168979919977013,1.102032668970723,1.0668509957351102,0.9680756530852468,36.203722872330765,25
4,4,6.386478724088129,15.108230891893239,2.3656590031231044,1.1051524924999148,1.0645001866253234,0.9632156592411663,36.84994302468711,25
4,5,6.421484791835986,16.49281244971988,2.5683798972300256,1.1037393658293178,1.0648746046473518,0.9647880990882625,36.86362686298253,25
