cond,p1,p2,a_b0,a_b1,a_b2,d_alpha
mixed,4,5,0.2560029689674576,0.28994641060978177,0.29451557831714553,-0.03851260934968792
baseline,0,0,0.2947792824923992,0.296470988244315,0.07419859598030647,0.22058068651209273
baseline,0,1,0.296524675972263,0.29686613311618565,0.2846950526803732,0.011829623291889801
baseline,0,2,0.2765071261723836,0.2997427085995674,0.29999409973422686,-0.02348697356184326
baseline,0,3,0.29419295378774407,0.18734152815143268,0.07770738170544307,0.21648557208230101
baseline,0,4,0.28439688171843686,0.29998910667498907,0.299993659367164,-0.015596777648727134
baseline,0,5,0.2854336884493629,0.21497231661826371,0.15599684875110786,0.12943683969825504
baseline,1,0,0.27206820676724114,0.2964254032259186,0.2686746102571487,0.0033935965100924115
baseline,1,1,0.2821035902907451,0.2972143743644158,0.2753140544871489,0.006789535803596203
baseline,1,2,0.25840544948379196,0.25369747659067315,0.08869996820340553,0.16970548128038643
baseline,1,3,0.2892472222611308,0.27822147426505883,0.2320996776903669,0.0571475445707639
baseline,1,4,0.29226585341095923,0.295557979272306,0.29763183585951725,-0.005365982448558015
baseline,1,5,0.25923969453573226,0.29143312758902706,0.23343284732600053,0.025806847209731726
baseline,2,0,0.2892084774742524,0.29984589070479073,0.2972986081187924,-0.008090130644540006
baseline,2,1,0.2806838418359558,0.27859183671623466,0.26872014072636763,0.011963701109588165
baseline,2,2,0.25423100336839755,0.26280955108155807,0.27003861849159,-0.015807615123192453
baseline,2,3,0.2938407549202442,0.2974789125695825,0.29757409019370873,-0.003733335273464533
baseline,2,4,0.285995751363039,0.2976189282034834,0.29277316017101207,-0.006777408807973062
baseline,2,5,0.28368338002214827,0.2981581715285778,0.2982980950579047,-0.014614715035756454
baseline,3,0,0.28968116408685846,0.29825333451231323,0.29898815118521455,-0.00930698709835609
baseline,3,1,0.2412459529136618,0.26874333111842474,0.22290281082093716,0.01834314209272464
baseline,3,2,0.2944022483383616,0.29463565364778044,0.29256903144915897,0.0018332168892026268
baseline,3,3,0.28558088271319865,0.2646876198117932,0.20629599451621375,0.0792848881969849
baseline,3,4,0.2705725259726246,0.2758014224996169,0.26727352792123954,0.0032989980513850603
baseline,3,5,0.2919443603898088,0.2592580611546834,0.2924054119040569,-0.00046105151424807866
baseline,4,0,0.28016885115603607,0.28360736665378017,0.2976110198736191,-0.01744216871758303
baseline,4,1,0.2984448091228803,0.28635158206671474,0.299998255131642,-0.0015534460087617274
baseline,4,2,0.2868034842635194,0.2919112617214521,0.29999890296856563,-0.013195418705046202
baseline,4,3,0.27548265254199505,0.29529731945991516,0.28393551444212595,-0.008452861900130892
baseline,4,4,0.25806592595130207,0.2949708842034141,0.299552870717148,-0.04148694476584591
baseline,4,5,0.285844413155814,0.29840531786878904,0.29675007173021634,-0.010905658574402344
persistent,0,0,0.29631320727417865,0.26615669787824153,0.13254702611813943,0.16376618115603922
persistent,0,1,0.2865475869273146,0.1479209529424707,0.1223006981164217,0.1642468888108929
persistent,0,2,0.28799792951146763,0.16464624956399201,0.12221090256273746,0.16578702694873015
persistent,0,3,0.29885838821927707,0.17846593044549228,0.1253764179090659,0.17348197031021118
persistent,0,4,0.2988178217748801,0.15199244222939015,0.12291047007838884,0.17590735169649124
persistent,0,5,0.2967354336341222,0.2781940823495388,0.1285531805957357,0.1681822530383865
persistent,1,0,0.29352909036328395,0.2889805122161905,0.2973571642021338,-0.003828073838849866
persistent,1,1,0.277807356360058,0.2918584008147319,0.1929935029024879,0.08481385345757009
persistent,1,2,0.2937272339661916,0.29894320000310737,0.2849415217821797,0.008785712184011918
persistent,1,3,0.29632115191717945,0.29918299073328575,0.2998853131661812,-0.0035641612490017738
persistent,1,4,0.29115885900855065,0.2785573946788907,0.22612344352056582,0.06503541548798483
persistent,1,5,0.2886401469578346,0.2695070349956552,0.18151083566695453,0.10712931129088005
persistent,2,0,0.2837411191041271,0.202404321094354,0.18397889962643385,0.09976221947769323
persistent,2,1,0.2905537854298949,0.29951978112608196,0.2990247793018818,-0.00847099387198691
persistent,2,2,0.2957641894092162,0.29994680130084356,0.2963452444627881,-0.0005810550535718662
persistent,2,3,0.29088472605695326,0.25369944008688133,0.18146942092428606,0.1094153051326672
persistent,2,4,0.2720730716938774,0.28604764838864405,0.2554078701366981,0.01666520155717932
persistent,2,5,0.29805020882984,0.2999964842915535,0.29994212564428646,-0.0018919168144464482
persistent,3,0,0.2782105243841807,0.2089999117558201,0.15109470547238985,0.12711581891179086
persistent,3,1,0.29930015181303027,0.2999942699611187,0.2987587963864207,0.0005413554266095466
persistent,3,2,0.28096334468722345,0.20731867120563985,0.1625838765695691,0.11837946811765435
persistent,3,3,0.2980815572241942,0.2961944901302457,0.22430177885393301,0.0737797783702612
persistent,3,4,0.29579664441595477,0.29999408314029374,0.299998805141449,-0.004202160725494231
persistent,3,5,0.2899424986680349,0.2965427285651366,0.29768079439500966,-0.007738295726974764
persistent,4,0,0.2956881362259388,0.29999020089606443,0.29767890428255,-0.001990768056611192
persistent,4,1,0.29099238715171816,0.2981200439820687,0.29999961015383403,-0.009007223002115872
persistent,4,2,0.19762946317344904,0.25285197530984876,0.25392057881206276,-0.05629111563861372
persistent,4,3,0.2988670871933301,0.29625929906417925,0.2999082935377955,-0.0010412063444654174
persistent,4,4,0.2955179366459449,0.29999951678117115,0.2964589157904188,-0.0009409791444738858
persistent,4,5,0.20577580962429445,0.2854429291158915,0.2997343227058649,-0.09395851308157047
