cond,a_b0,a_b2,d_alpha,n_runs,ci_lo,ci_hi,perm_p
baseline,0.2848395656925936,0.2798394699126482,0.0025661074702938436,30.0,,,
mixed,0.2785166774290303,0.22917930353234212,0.044318048624445994,30.0,,,
persistent,0.29286957154199483,0.26099128662447135,0.036910563835998375,30.0,,,
RESIDUE_mixed_vs_baseline,,,0.04175194115415215,,-0.03698138414033374,0.16137772600402434,0.08309169083091691
RESIDUE_mixed_vs_persistent,,,0.007407484788447619,,-0.13643853366489833,0.14619954737344126,0.825917408259174
