p1,p2,tv_occ_b0_b2,mean_x_b0,mean_x_b2
0,0,0.017133333333333372,21.280333333333335,21.124866666666666
0,1,0.006466666666666645,21.248533333333334,21.305
0,2,0.0029999999999999914,21.180066666666665,21.1582
0,3,0.005733333333333309,21.2728,21.221933333333332
0,4,0.006933333333333326,21.201666666666668,21.26493333333333
0,5,0.004333333333333347,21.286666666666665,21.237066666666667
1,0,0.10026666666666666,20.805866666666667,18.879733333333334
1,1,0.09799999999999998,21.206333333333333,19.701533333333334
1,2,0.029466666666666655,20.9142,21.306
1,3,0.24480000000000002,20.844933333333334,16.7846
1,4,0.031200000000000006,21.0368,21.4694
1,5,0.07899999999999999,20.8244,19.3182
2,0,0.035399999999999994,20.958466666666666,21.4024
2,1,0.009200000000000007,21.199466666666666,21.116733333333332
2,2,0.004000000000000018,21.245533333333334,21.219533333333334
2,3,0.03226666666666663,20.799933333333332,21.2198
2,4,0.023933333333333348,20.68873333333333,21.0284
2,5,0.026133333333333335,21.328333333333333,21.031066666666668
3,0,0.017266666666666715,19.5476,19.6376
3,1,0.17726666666666668,17.625733333333333,20.326133333333335
3,2,0.3682,14.4256,20.290066666666668
3,3,0.15066666666666664,14.845733333333333,17.1388
3,4,0.012533333333333296,21.271866666666668,21.3796
3,5,0.16219999999999996,15.183466666666666,17.3448
4,0,0.20866666666666667,0.9476666666666667,2.5296666666666665
4,1,0.10713333333333337,1.0451333333333332,2.9477333333333333
4,2,0.009266666666666694,0.7540666666666667,0.6784666666666667
4,3,0.046066666666666686,1.1053333333333333,2.0233333333333334
4,4,0.08599999999999997,0.6136666666666667,2.4556
4,5,0.02293333333333333,1.4635333333333334,1.8655333333333333
