n_perturb,pe_late,g_norm_late,alpha_late,zone0_frac,zone1_frac,zone2_frac,zone3_frac,zone4_frac
0,0.011875227493796653,2.969124497830868,0.06787078328803181,0.0,0.0,0.03233333333333333,0.044833333333333336,0.9228333333333333
1,0.012414237254590262,3.072228636264801,0.08527892540767788,0.0,0.0,0.0395,0.042666666666666665,0.9178333333333333
2,0.012580141805354893,3.0633049915234247,0.10279179086411992,0.0,0.0,0.043333333333333335,0.043,0.9136666666666666
3,0.012772196096445745,2.8366351808110872,0.10739735100542505,0.0,0.0,0.052333333333333336,0.04416666666666667,0.9035
4,0.012880346990209849,2.94217830379804,0.1214835359926025,0.0,0.0,0.049833333333333334,0.044833333333333336,0.9053333333333333
5,0.012914636646804865,2.865733865549167,0.1335586355055372,0.0,0.0,0.042,0.0425,0.9155
6,0.013466612248894914,2.887095871567726,0.15651064790288607,0.0,0.0,0.06866666666666667,0.043166666666666666,0.8881666666666667
