probe_idx,zone_id,x,y,g_label,z_raw_norm,z_t_norm,z_shift,gamma_mean,gamma_abs_mean,beta_mean,z_raw_0,z_t_0,gamma_0,beta_0,z_raw_1,z_t_1,gamma_1,beta_1,z_raw_2,z_t_2,gamma_2,beta_2,z_raw_3,z_t_3,gamma_3,beta_3,z_raw_4,z_t_4,gamma_4,beta_4,z_raw_5,z_t_5,gamma_5,beta_5,z_raw_6,z_t_6,gamma_6,beta_6,z_raw_7,z_t_7,gamma_7,beta_7,z_raw_8,z_t_8,gamma_8,beta_8,z_raw_9,z_t_9,gamma_9,beta_9,z_raw_10,z_t_10,gamma_10,beta_10,z_raw_11,z_t_11,gamma_11,beta_11,z_raw_12,z_t_12,gamma_12,beta_12,z_raw_13,z_t_13,gamma_13,beta_13,z_raw_14,z_t_14,gamma_14,beta_14,z_raw_15,z_t_15,gamma_15,beta_15
0,0,0,5,low_perturb,3.1115424633026123,4.784646987915039,3.1056466102600098,-0.03156745061278343,0.4812927544116974,-0.12367073446512222,-0.8385012149810791,-0.585363507270813,0.011269975453615189,0.2625875473022461,0.10523995757102966,-0.23343871533870697,-0.4955984950065613,-0.28652191162109375,-0.7373718023300171,0.27956312894821167,-0.6027817726135254,0.5724606513977051,-0.7470866441726685,-1.2107263803482056,0.061969198286533356,-0.4173433780670166,0.9309714436531067,0.12955236434936523,-0.5607800483703613,-0.27934888005256653,-0.09000815451145172,0.23020221292972565,-0.12384623289108276,0.309063196182251,-0.9196093082427979,-0.7154703140258789,-0.34055307507514954,-0.10903677344322205,-0.8876156210899353,-2.554901123046875,1.0554410219192505,-0.7304597496986389,0.9455171227455139,1.4387049674987793,0.33173346519470215,0.1795281618833542,-0.7976507544517517,-0.6211069822311401,-0.7866820693016052,-0.45095378160476685,-0.29873329401016235,-0.6676517724990845,-0.3331603407859802,-0.4684445559978485,-0.9920418858528137,-2.0737850666046143,0.8252782821655273,-0.2630326449871063,-0.9628397822380066,-1.5628163814544678,0.5806484222412109,-0.040905218571424484,0.956514298915863,-0.21301260590553284,-0.6938294768333435,-0.5058690905570984,0.9090955257415771,2.0376105308532715,0.7314621806144714,0.4635457992553711,0.29198789596557617,0.029619023203849792,-0.16565032303333282,-0.21400098502635956
0,0,0,5,g_zero,3.1115424633026123,3.1377599239349365,0.3381323516368866,0.004111508838832378,0.04890826344490051,-0.00291911861859262,-0.8385012149810791,-0.7186844944953918,-0.06019311770796776,0.06934472173452377,0.10523995757102966,0.07859661430120468,-0.01519287470728159,-0.025044448673725128,-0.7373718023300171,-0.6614631414413452,-0.040407780557870865,0.04611315578222275,-0.7470866441726685,-0.7931635975837708,0.061434902250766754,-0.00017975250375457108,0.9309714436531067,0.8403058052062988,-0.06111030653119087,-0.03377364203333855,-0.09000815451145172,-0.029918748885393143,-0.017829567193984985,0.058484602719545364,-0.9196093082427979,-0.839648425579071,-0.04228523373603821,0.04107500612735748,-0.8876156210899353,-0.9706870913505554,0.05635572969913483,-0.033049292862415314,0.9455171227455139,0.9988897442817688,0.0437588095664978,0.011997858062386513,-0.7976507544517517,-0.8863171935081482,0.05720409378409386,-0.0430375412106514,-0.29873329401016235,-0.36186957359313965,-0.0027619206812232733,-0.06396134942770004,-0.9920418858528137,-1.0777785778045654,0.06846322864294052,-0.01781831867992878,-0.9628397822380066,-1.0137594938278198,0.05391208827495575,0.000989016960375011,0.956514298915863,0.8129761219024658,-0.08243689686059952,-0.06468603760004044,0.9090955257415771,1.0409941673278809,0.08302932977676392,0.05641716346144676,0.29198789596557617,0.231853649020195,-0.036156345158815384,-0.04957704246044159
1,0,0,5,low_perturb,3.1115424633026123,4.784646987915039,3.1056466102600098,-0.03156745061278343,0.4812927544116974,-0.12367073446512222,-0.8385012149810791,-0.585363507270813,0.011269975453615189,0.2625875473022461,0.10523995757102966,-0.23343871533870697,-0.4955984950065613,-0.28652191162109375,-0.7373718023300171,0.27956312894821167,-0.6027817726135254,0.5724606513977051,-0.7470866441726685,-1.2107263803482056,0.061969198286533356,-0.4173433780670166,0.9309714436531067,0.12955236434936523,-0.5607800483703613,-0.27934888005256653,-0.09000815451145172,0.23020221292972565,-0.12384623289108276,0.309063196182251,-0.9196093082427979,-0.7154703140258789,-0.34055307507514954,-0.10903677344322205,-0.8876156210899353,-2.554901123046875,1.0554410219192505,-0.7304597496986389,0.9455171227455139,1.4387049674987793,0.33173346519470215,0.1795281618833542,-0.7976507544517517,-0.6211069822311401,-0.7866820693016052,-0.45095378160476685,-0.29873329401016235,-0.6676517724990845,-0.3331603407859802,-0.4684445559978485,-0.9920418858528137,-2.0737850666046143,0.8252782821655273,-0.2630326449871063,-0.9628397822380066,-1.5628163814544678,0.5806484222412109,-0.040905218571424484,0.956514298915863,-0.21301260590553284,-0.6938294768333435,-0.5058690905570984,0.9090955257415771,2.0376105308532715,0.7314621806144714,0.4635457992553711,0.29198789596557617,0.029619023203849792,-0.16565032303333282,-0.21400098502635956
1,0,0,5,g_zero,3.1115424633026123,3.1377599239349365,0.3381323516368866,0.004111508838832378,0.04890826344490051,-0.00291911861859262,-0.8385012149810791,-0.7186844944953918,-0.06019311770796776,0.06934472173452377,0.10523995757102966,0.07859661430120468,-0.01519287470728159,-0.025044448673725128,-0.7373718023300171,-0.6614631414413452,-0.040407780557870865,0.04611315578222275,-0.7470866441726685,-0.7931635975837708,0.061434902250766754,-0.00017975250375457108,0.9309714436531067,0.8403058052062988,-0.06111030653119087,-0.03377364203333855,-0.09000815451145172,-0.029918748885393143,-0.017829567193984985,0.058484602719545364,-0.9196093082427979,-0.839648425579071,-0.04228523373603821,0.04107500612735748,-0.8876156210899353,-0.9706870913505554,0.05635572969913483,-0.033049292862415314,0.9455171227455139,0.9988897442817688,0.0437588095664978,0.011997858062386513,-0.7976507544517517,-0.8863171935081482,0.05720409378409386,-0.0430375412106514,-0.29873329401016235,-0.36186957359313965,-0.0027619206812232733,-0.06396134942770004,-0.9920418858528137,-1.0777785778045654,0.06846322864294052,-0.01781831867992878,-0.9628397822380066,-1.0137594938278198,0.05391208827495575,0.000989016960375011,0.956514298915863,0.8129761219024658,-0.08243689686059952,-0.06468603760004044,0.9090955257415771,1.0409941673278809,0.08302932977676392,0.05641716346144676,0.29198789596557617,0.231853649020195,-0.036156345158815384,-0.04957704246044159
2,0,1,1,low_perturb,3.2472290992736816,4.923193454742432,3.009660005569458,-0.03156745061278343,0.4812927544116974,-0.12367073446512222,-0.8792175054550171,-0.6265386939048767,0.011269975453615189,0.2625875473022461,-0.5443652868270874,-0.5611006021499634,-0.4955984950065613,-0.28652191162109375,-0.3225966691970825,0.44431936740875244,-0.6027817726135254,0.5724606513977051,-0.8549379110336304,-1.325261116027832,0.061969198286533356,-0.4173433780670166,0.9187268614768982,0.12417429685592651,-0.5607800483703613,-0.27934888005256653,-0.46903422474861145,-0.10188290476799011,-0.12384623289108276,0.309063196182251,-0.9714245200157166,-0.7496397495269775,-0.34055307507514954,-0.10903677344322205,-0.8732271194458008,-2.5253264904022217,1.0554410219192505,-0.7304597496986389,0.9687593579292297,1.4696574211120605,0.33173346519470215,0.1795281618833542,-0.9423593282699585,-0.6519759297370911,-0.7866820693016052,-0.45095378160476685,-0.5989388823509216,-0.8678407669067383,-0.3331603407859802,-0.4684445559978485,-0.9964368939399719,-2.0818071365356445,0.8252782821655273,-0.2630326449871063,-0.9712084531784058,-1.5760443210601807,0.5806484222412109,-0.040905218571424484,0.9148246049880981,-0.2257767617702484,-0.6938294768333435,-0.5058690905570984,0.9432746767997742,2.096790313720703,0.7314621806144714,0.4635457992553711,0.14779260754585266,-0.09069027006626129,-0.16565032303333282,-0.21400098502635956
2,0,1,1,g_zero,3.2472290992736816,3.299407482147217,0.3386073708534241,0.004111508838832378,0.04890826344490051,-0.00291911861859262,-0.8792175054550171,-0.7569499611854553,-0.06019311770796776,0.06934472173452377,-0.5443652868270874,-0.5611392855644226,-0.01519287470728159,-0.025044448673725128,-0.3225966691970825,-0.2634480893611908,-0.040407780557870865,0.04611315578222275,-0.8549379110336304,-0.9076406955718994,0.061434902250766754,-0.00017975250375457108,0.9187268614768982,0.8288094997406006,-0.06111030653119087,-0.03377364203333855,-0.46903422474861145,-0.40218695998191833,-0.017829567193984985,0.058484602719545364,-0.9714245200157166,-0.8892726302146912,-0.04228523373603821,0.04107500612735748,-0.8732271194458008,-0.9554877281188965,0.05635572969913483,-0.033049292862415314,0.9687593579292297,1.023149013519287,0.0437588095664978,0.011997858062386513,-0.9423593282699585,-1.0393037796020508,0.05720409378409386,-0.0430375412106514,-0.5989388823509216,-0.6612460017204285,-0.0027619206812232733,-0.06396134942770004,-0.9964368939399719,-1.0824744701385498,0.06846322864294052,-0.01781831867992878,-0.9712084531784058,-1.022579312324524,0.05391208827495575,0.000989016960375011,0.9148246049880981,0.77472323179245,-0.08243689686059952,-0.06468603760004044,0.9432746767997742,1.078011155128479,0.08302932977676392,0.05641716346144676,0.14779260754585266,0.09287191927433014,-0.036156345158815384,-0.04957704246044159
3,0,2,5,low_perturb,3.147865056991577,4.8366193771362305,3.0813984870910645,-0.03156745061278343,0.4812927544116974,-0.12367073446512222,-0.8555701971054077,-0.6026248931884766,0.011269975453615189,0.2625875473022461,-0.0672796368598938,-0.3204578757286072,-0.4955984950065613,-0.28652191162109375,-0.6395515203475952,0.31841912865638733,-0.6027817726135254,0.5724606513977051,-0.7828778624534607,-1.2487355470657349,0.061969198286533356,-0.4173433780670166,0.9272887706756592,0.12793484330177307,-0.5607800483703613,-0.27934888005256653,-0.17713706195354462,0.15386389195919037,-0.12384623289108276,0.309063196182251,-0.9446706771850586,-0.731997013092041,-0.34055307507514954,-0.10903677344322205,-0.8890169858932495,-2.55778169631958,1.0554410219192505,-0.7304597496986389,0.9552788734436035,1.451704978942871,0.33173346519470215,0.1795281618833542,-0.8639495968818665,-0.6352497339248657,-0.7866820693016052,-0.45095378160476685,-0.43135619163513184,-0.756089985370636,-0.3331603407859802,-0.4684445559978485,-0.99408358335495,-2.077511787414551,0.8252782821655273,-0.2630326449871063,-0.9672284722328186,-1.5697534084320068,0.5806484222412109,-0.040905218571424484,0.947925329208374,-0.2156423032283783,-0.6938294768333435,-0.5058690905570984,0.9213495254516602,2.0588278770446777,0.7314621806144714,0.4635457992553711,0.24574941396713257,-0.008960038423538208,-0.16565032303333282,-0.21400098502635956
3,0,2,5,g_zero,3.147865056991577,3.1845037937164307,0.3391255736351013,0.004111508838832378,0.04890826344490051,-0.00291911861859262,-0.8555701971054077,-0.734726071357727,-0.06019311770796776,0.06934472173452377,-0.0672796368598938,-0.09130191802978516,-0.01519287470728159,-0.025044448673725128,-0.6395515203475952,-0.5675955414772034,-0.040407780557870865,0.04611315578222275,-0.7828778624534607,-0.8311536312103271,0.061434902250766754,-0.00017975250375457108,0.9272887706756592,0.8368481993675232,-0.06111030653119087,-0.03377364203333855,-0.17713706195354462,-0.11549419164657593,-0.017829567193984985,0.058484602719545364,-0.9446706771850586,-0.8636500835418701,-0.04228523373603821,0.04107500612735748,-0.8890169858932495,-0.972167432308197,0.05635572969913483,-0.033049292862415314,0.9552788734436035,1.0090786218643188,0.0437588095664978,0.011997858062386513,-0.8639495968818665,-0.9564086198806763,0.05720409378409386,-0.0430375412106514,-0.43135619163513184,-0.49412617087364197,-0.0027619206812232733,-0.06396134942770004,-0.99408358335495,-1.0799601078033447,0.06846322864294052,-0.01781831867992878,-0.9672284722328186,-1.0183848142623901,0.05391208827495575,0.000989016960375011,0.947925329208374,0.8050951957702637,-0.08243689686059952,-0.06468603760004044,0.9213495254516602,1.0542656183242798,0.08302932977676392,0.05641716346144676,0.24574941396713257,0.18728697299957275,-0.036156345158815384,-0.04957704246044159
4,0,1,1,low_perturb,3.2472290992736816,4.923193454742432,3.009660005569458,-0.03156745061278343,0.4812927544116974,-0.12367073446512222,-0.8792175054550171,-0.6265386939048767,0.011269975453615189,0.2625875473022461,-0.5443652868270874,-0.5611006021499634,-0.4955984950065613,-0.28652191162109375,-0.3225966691970825,0.44431936740875244,-0.6027817726135254,0.5724606513977051,-0.8549379110336304,-1.325261116027832,0.061969198286533356,-0.4173433780670166,0.9187268614768982,0.12417429685592651,-0.5607800483703613,-0.27934888005256653,-0.46903422474861145,-0.10188290476799011,-0.12384623289108276,0.309063196182251,-0.9714245200157166,-0.7496397495269775,-0.34055307507514954,-0.10903677344322205,-0.8732271194458008,-2.5253264904022217,1.0554410219192505,-0.7304597496986389,0.9687593579292297,1.4696574211120605,0.33173346519470215,0.1795281618833542,-0.9423593282699585,-0.6519759297370911,-0.7866820693016052,-0.45095378160476685,-0.5989388823509216,-0.8678407669067383,-0.3331603407859802,-0.4684445559978485,-0.9964368939399719,-2.0818071365356445,0.8252782821655273,-0.2630326449871063,-0.9712084531784058,-1.5760443210601807,0.5806484222412109,-0.040905218571424484,0.9148246049880981,-0.2257767617702484,-0.6938294768333435,-0.5058690905570984,0.9432746767997742,2.096790313720703,0.7314621806144714,0.4635457992553711,0.14779260754585266,-0.09069027006626129,-0.16565032303333282,-0.21400098502635956
4,0,1,1,g_zero,3.2472290992736816,3.299407482147217,0.3386073708534241,0.004111508838832378,0.04890826344490051,-0.00291911861859262,-0.8792175054550171,-0.7569499611854553,-0.06019311770796776,0.06934472173452377,-0.5443652868270874,-0.5611392855644226,-0.01519287470728159,-0.025044448673725128,-0.3225966691970825,-0.2634480893611908,-0.040407780557870865,0.04611315578222275,-0.8549379110336304,-0.9076406955718994,0.061434902250766754,-0.00017975250375457108,0.9187268614768982,0.8288094997406006,-0.06111030653119087,-0.03377364203333855,-0.46903422474861145,-0.40218695998191833,-0.017829567193984985,0.058484602719545364,-0.9714245200157166,-0.8892726302146912,-0.04228523373603821,0.04107500612735748,-0.8732271194458008,-0.9554877281188965,0.05635572969913483,-0.033049292862415314,0.9687593579292297,1.023149013519287,0.0437588095664978,0.011997858062386513,-0.9423593282699585,-1.0393037796020508,0.05720409378409386,-0.0430375412106514,-0.5989388823509216,-0.6612460017204285,-0.0027619206812232733,-0.06396134942770004,-0.9964368939399719,-1.0824744701385498,0.06846322864294052,-0.01781831867992878,-0.9712084531784058,-1.022579312324524,0.05391208827495575,0.000989016960375011,0.9148246049880981,0.77472323179245,-0.08243689686059952,-0.06468603760004044,0.9432746767997742,1.078011155128479,0.08302932977676392,0.05641716346144676,0.14779260754585266,0.09287191927433014,-0.036156345158815384,-0.04957704246044159
