n_perturb,pe_late,g_norm_late,alpha_late,zone0_frac,zone1_frac,zone2_frac,zone3_frac,zone4_frac
0,0.016581823435864257,3.1877159315943717,0.1824158216143648,0.019333333333333334,0.028333333333333332,0.04716666666666667,0.041,0.8641666666666666
1,0.018585028616255536,3.2854660400946933,0.2999756743957599,0.0,0.08033333333333334,0.11833333333333333,0.050666666666666665,0.7506666666666667
2,0.013063797119413115,3.174280586262544,0.15485816228886445,0.0,0.0,0.0335,0.03716666666666667,0.9293333333333333
3,0.01351966666271134,3.1361701544523237,0.1604934015162289,0.0,0.0,0.036166666666666666,0.04716666666666667,0.9166666666666666
4,0.01366358293699644,3.092541016817093,0.29973608563716214,0.0,0.0,0.026333333333333334,0.03933333333333333,0.9343333333333333
5,0.014167025287946066,3.0225850327213606,0.29359377998982866,0.0,0.0,0.03,0.043666666666666666,0.9263333333333333
6,0.01408999697183026,3.180014399965604,0.2932792945168912,0.0,0.0,0.027333333333333334,0.0535,0.9191666666666667
