alpha,valence,seed,proto_id,well_depth,proto_distance,gru_ih_norm,gru_hh_norm,proto_g_0,proto_g_1,proto_g_2,proto_g_3,proto_g_4,proto_g_5,proto_g_6,proto_g_7,proto_g_8,proto_g_9,proto_g_10,proto_g_11
0.05,MMMM,0,0,7.341393211390823e-05,8.096035957336426,7.293814659118652,7.8175249099731445,-1.1019423007965088,0.4920305907726288,-0.5743075609207153,-1.1694284677505493,-2.0805845260620117,-1.5949304103851318,1.3295055627822876,2.578700304031372,0.6076923608779907,0.6905012130737305,1.6299225091934204,-1.1252431869506836
0.05,MMMM,0,1,7.341393211390823e-05,8.096035957336426,7.293814659118652,7.8175249099731445,0.7460881471633911,-0.141824871301651,0.18972612917423248,0.904104471206665,1.3544821739196777,0.343696653842926,-0.2442297637462616,-1.5227954387664795,-0.3768303692340851,-0.24079680442810059,-1.9422324895858765,1.5935367345809937
0.05,MMMM,1,0,4.9000958824763075e-05,8.201762199401855,7.328200340270996,7.524692058563232,-1.1453619003295898,-0.3344722092151642,-1.0094294548034668,-1.2313774824142456,-2.0278027057647705,-1.6626399755477905,1.670797348022461,2.4370579719543457,0.8020753860473633,0.6457491517066956,1.4284008741378784,-1.2386914491653442
0.05,MMMM,1,1,4.9000958824763075e-05,8.201762199401855,7.328200340270996,7.524692058563232,0.47619855403900146,0.5922886729240417,0.29486578702926636,1.020981788635254,1.1279432773590088,0.4028209447860718,-0.42619603872299194,-1.8094817399978638,-0.43959829211235046,-0.1516426056623459,-1.5192569494247437,1.8410214185714722
0.05,MMMM,2,0,0.00011909145541721955,8.090450286865234,7.911231517791748,8.618141174316406,0.4414864182472229,-0.09554990381002426,-0.41128009557724,0.9589293003082275,1.1910090446472168,0.22765128314495087,-0.2004881650209427,-1.5143531560897827,-0.2785320580005646,-0.14701209962368011,-1.4275776147842407,1.9524922370910645
0.05,MMMM,2,1,0.00011909145541721955,8.090450286865234,7.911231517791748,8.618141174316406,-1.2999868392944336,0.6268056035041809,0.7298218607902527,-1.4545115232467651,-2.073381185531616,-1.37312912940979,1.4657657146453857,2.469697952270508,0.5441012382507324,0.27723926305770874,1.6372387409210205,-1.6050959825515747
0.05,MMMM,3,0,4.892250944976695e-05,8.203460693359375,7.755983829498291,8.006674766540527,0.45357170701026917,0.6610848307609558,-0.3963485360145569,0.90488600730896,1.2421634197235107,0.21183618903160095,-0.1594795137643814,-1.628748893737793,-0.37605249881744385,-0.2434275597333908,-1.647477149963379,1.7382533550262451
0.05,MMMM,3,1,4.892250944976695e-05,8.203460693359375,7.755983829498291,8.006674766540527,-1.122476577758789,-0.7333817481994629,0.35994118452072144,-1.411451816558838,-2.275677442550659,-1.2912616729736328,1.3422068357467651,2.59242844581604,0.6770440936088562,0.624319314956665,1.5708909034729004,-1.4245150089263916
0.05,MMMM,4,0,6.412975926650688e-05,8.15224552154541,7.908051490783691,8.37180233001709,0.496338427066803,-0.09897101670503616,0.30361080169677734,0.9561887383460999,1.1527351140975952,0.28074145317077637,-0.36007824540138245,-1.5888869762420654,-0.4895753264427185,0.031544167548418045,-1.6621569395065308,1.9218591451644897
0.05,MMMM,4,1,6.412975926650688e-05,8.15224552154541,7.908051490783691,8.37180233001709,-1.378127932548523,0.5935755372047424,-0.6763765811920166,-1.2701568603515625,-1.963793396949768,-1.478945016860962,1.562918782234192,2.5801446437835693,0.7242093086242676,-0.1281474381685257,1.5251600742340088,-1.3952367305755615
0.05,MMMM,5,0,5.510870323632844e-05,8.217761039733887,8.28274154663086,8.441885948181152,0.33418115973472595,-0.14861224591732025,-0.4760894477367401,1.0482206344604492,1.022404670715332,0.23777702450752258,-0.38823238015174866,-1.851977825164795,-0.11686433851718903,-0.2427683025598526,-1.246512770652771,1.8625833988189697
0.05,MMMM,5,1,5.510870323632844e-05,8.217761039733887,8.28274154663086,8.441885948181152,-1.0492511987686157,0.706622838973999,0.5406448245048523,-1.540064811706543,-2.1546084880828857,-1.6549545526504517,1.6281131505966187,2.0441596508026123,-0.31870338320732117,1.0410958528518677,2.312345266342163,-1.2802515029907227
0.05,SSSS,0,0,3.881536395056173e-05,8.241949081420898,7.256314277648926,7.501009941101074,-0.46370458602905273,1.4182534217834473,-1.3658565282821655,-1.359116792678833,-1.169908046722412,1.0091766119003296,0.07384277880191803,2.655348062515259,-1.04118812084198,-0.7733256816864014,1.903672218322754,-1.0839004516601562
0.05,SSSS,0,1,3.881536395056173e-05,8.241949081420898,7.256314277648926,7.501009941101074,0.36368948221206665,-0.5379026532173157,0.3556888699531555,0.9500725865364075,1.71367347240448,-0.49590393900871277,-0.573554515838623,-1.5580228567123413,0.016640448942780495,0.2703551948070526,-2.2083373069763184,1.609368085861206
0.05,SSSS,1,0,2.4489065253874287e-05,8.231487274169922,7.2284088134765625,7.730764865875244,-0.2911723852157593,1.0632448196411133,-1.7141492366790771,-1.8948181867599487,-0.7161789536476135,0.9445824027061462,0.6468002796173096,2.597640037536621,-1.0171674489974976,-1.1165498495101929,1.5052233934402466,-1.1690791845321655
0.05,SSSS,1,1,2.4489065253874287e-05,8.231487274169922,7.2284088134765625,7.730764865875244,0.19866815209388733,-0.40342599153518677,0.6302526593208313,1.1017942428588867,1.3707096576690674,-0.35156354308128357,-0.6442065238952637,-1.6811202764511108,0.0912485271692276,0.3628208041191101,-1.9150669574737549,1.9558695554733276
0.05,SSSS,2,0,5.639996743411757e-05,8.137190818786621,7.599815845489502,9.47097110748291,0.3702487349510193,-0.7432349324226379,-0.30197227001190186,0.9602513313293457,1.182805061340332,-0.28238046169281006,-0.0553961843252182,-1.7011277675628662,0.11654163151979446,0.03008345514535904,-1.1626249551773071,2.0497400760650635
