n_perturb,pe_late,g_norm_late,alpha_late,zone0_frac,zone1_frac,zone2_frac,zone3_frac,zone4_frac
0,0.011844694653977058,2.9829541450142862,0.07977363823975125,0.0,0.0,0.029,0.03866666666666667,0.9323333333333333
1,0.012310962722791979,2.918790052553018,0.07916729323441783,0.0,0.0006666666666666666,0.04516666666666667,0.043833333333333335,0.9103333333333333
2,0.012838812716208244,3.377341489156087,0.2999997191776832,0.0,0.0,0.054,0.041833333333333333,0.9041666666666667
3,0.013107398451150705,3.146511274298032,0.1260788758583367,0.0,0.0,0.063,0.04683333333333333,0.8901666666666667
4,0.013158077141260341,3.476813384493192,0.29999928968648115,0.0,0.001,0.05566666666666667,0.043333333333333335,0.9
5,0.01379992176151912,3.1753662697672844,0.14070399877304832,0.0,0.0055,0.07283333333333333,0.047,0.8746666666666667
6,0.013847343820467359,2.88762936292092,0.15445194967091083,0.0,0.010166666666666666,0.06916666666666667,0.034,0.8866666666666667
