n_perturb,pe_late,g_norm_late,alpha_late,zone0_frac,zone1_frac,zone2_frac,zone3_frac,zone4_frac
0,0.04189370720181614,3.9678111347556113,0.2989822402584056,0.9443333333333334,0.02666666666666667,0.028166666666666666,0.0008333333333333334,0.0
1,0.04347865513401727,3.8523819414377214,0.2979085749934117,0.9391666666666667,0.0415,0.019333333333333334,0.0,0.0
2,0.0386206185153181,3.750129747192065,0.2960326072797179,0.8468333333333333,0.029166666666666667,0.025666666666666667,0.005,0.09333333333333334
3,0.03702320858145443,3.5966558825572332,0.26166875359540187,0.7461666666666666,0.028166666666666666,0.03216666666666667,0.008666666666666666,0.18483333333333332
4,0.040531881290177506,3.688319463411967,0.2911474854213496,0.8505,0.028666666666666667,0.023833333333333335,0.005666666666666667,0.09133333333333334
5,0.04135685071461679,3.5864019598166146,0.2921131845911344,0.8906666666666667,0.029166666666666667,0.031,0.002,0.04716666666666667
6,0.04060279009283598,3.4750214239756265,0.299955005372564,0.8453333333333334,0.0315,0.0265,0.0033333333333333335,0.09333333333333334
