probe_idx,episode,t,probe_type,decoder_shift_ssss_vs_mmmm,policy_shift_ssss_vs_mmmm,policy_tvd_ssss_vs_mmmm,decoder_shift_ssss_vs_mmmm_a0,decoder_shift_ssss_vs_mmmm_a1,decoder_shift_ssss_vs_mmmm_a2,decoder_shift_ssss_vs_mmmm_a3,decoder_shift_ssss_vs_mmmm_a4,decoder_shift_ssss_vs_zero,policy_shift_ssss_vs_zero,policy_tvd_ssss_vs_zero,decoder_shift_ssss_vs_zero_a0,decoder_shift_ssss_vs_zero_a1,decoder_shift_ssss_vs_zero_a2,decoder_shift_ssss_vs_zero_a3,decoder_shift_ssss_vs_zero_a4,decoder_shift_mmmm_vs_zero,policy_shift_mmmm_vs_zero,policy_tvd_mmmm_vs_zero,decoder_shift_mmmm_vs_zero_a0,decoder_shift_mmmm_vs_zero_a1,decoder_shift_mmmm_vs_zero_a2,decoder_shift_mmmm_vs_zero_a3,decoder_shift_mmmm_vs_zero_a4,decoder_shift_ssss_vs_ssss_b,policy_shift_ssss_vs_ssss_b,policy_tvd_ssss_vs_ssss_b,decoder_shift_ssss_vs_ssss_b_a0,decoder_shift_ssss_vs_ssss_b_a1,decoder_shift_ssss_vs_ssss_b_a2,decoder_shift_ssss_vs_ssss_b_a3,decoder_shift_ssss_vs_ssss_b_a4,alpha,seed
0,0,0,quiet,0.00010484657104825601,0.0003703185066115111,0.0001135561615228653,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.5665667057037354,0.27182820439338684,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.5668818354606628,0.2719404101371765,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.0031715217046439648,0.0010719411075115204,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
1,0,1,quiet,0.00010484657104825601,0.0002840664819814265,8.939020335674286e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.45408353209495544,0.17994102835655212,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.4543112516403198,0.17999601364135742,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.0025835682172328234,0.0006425976753234863,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
2,0,2,quiet,0.00010484657104825601,0.00028811037191189826,8.9278444647789e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.4585742950439453,0.18482334911823273,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.45880717039108276,0.18488118052482605,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.0026192646473646164,0.0006562434136867523,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
3,0,3,quiet,0.00010484657104825601,0.0002950866473838687,8.930079638957977e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.4665229022502899,0.19112154841423035,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.4667641818523407,0.19118301570415497,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.002675296040251851,0.0006886739283800125,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
4,0,4,quiet,0.00010484657104825601,0.0002762244257610291,8.834246546030045e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.43491271138191223,0.1622205674648285,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.4351310431957245,0.16226868331432343,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.00252657663077116,0.000629001297056675,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
5,0,5,quiet,0.00010484657104825601,0.0002870591706596315,8.947029709815979e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.459760457277298,0.1835172027349472,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.4599919021129608,0.18357372283935547,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.002609049901366234,0.0006435215473175049,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
6,0,6,quiet,0.00010484657104825601,0.0002827106509357691,8.922629058361053e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.4517117142677307,0.17723152041435242,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.4519379138946533,0.1772853434085846,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.0025756345130503178,0.0006407480686903,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
7,0,7,quiet,0.00010484657104825601,0.00029222664306871593,8.944235742092133e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.4644089341163635,0.1890082061290741,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.46464672684669495,0.18906807899475098,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.002652330556884408,0.0006749387830495834,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
8,0,8,quiet,0.00010484657104825601,0.0002860860840883106,8.934177458286285e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.456481397151947,0.1819772869348526,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.45671170949935913,0.1820334792137146,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.002601407701149583,0.0006430447101593018,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
9,0,9,quiet,0.00010484657104825601,0.00029653345700353384,8.887425065040588e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.4682157635688782,0.19441242516040802,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.46845924854278564,0.19447584450244904,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.002688349923118949,0.000707259401679039,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
10,0,10,quiet,0.00010484657104825601,0.00028969041886739433,8.930638432502747e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.46126386523246765,0.1868939846754074,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.46149876713752747,0.1869528889656067,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.00262929848395288,0.0006640646606683731,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
11,0,11,quiet,0.00010484657104825601,0.00028999935602769256,8.918531239032745e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.4601303040981293,0.1866312026977539,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.4603656828403473,0.1866903454065323,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.0026325187645852566,0.0006665047258138657,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
12,0,12,quiet,0.00010484657104825601,0.00029724245541729033,8.894316852092743e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.470121294260025,0.1957513689994812,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.47036558389663696,0.19581522047519684,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.002694028662517667,0.0007116030901670456,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
13,0,13,quiet,0.00010484657104825601,0.00028846377972513437,8.942373096942902e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.45957624912261963,0.184091717004776,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.45980915427207947,0.18414883315563202,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.002622328232973814,0.0006503984332084656,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
14,0,14,quiet,0.00010484657104825601,0.00027988909278064966,8.888076990842819e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.44356733560562134,0.16853822767734528,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.4437900483608246,0.16858872771263123,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.0025533419102430344,0.0006349328905344009,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
15,0,15,quiet,0.00010484657104825601,0.0002951407223008573,8.96994024515152e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.4697670042514801,0.1924070417881012,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.47000807523727417,0.19246837496757507,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.002671638038009405,0.0006858464330434799,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
16,0,16,quiet,0.00010484657104825601,0.0002834914193954319,8.917972445487976e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.4519830048084259,0.17753873765468597,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.45221012830734253,0.177592933177948,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.0025806452613323927,0.0006407294422388077,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
17,0,17,quiet,0.00010484657104825601,0.00029435098986141384,8.921511471271515e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.466866135597229,0.19249694049358368,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.4671066105365753,0.19255885481834412,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.002669896464794874,0.0006935577839612961,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
18,0,18,quiet,0.00010484657104825601,0.00027622911147773266,8.835922926664352e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.4371308386325836,0.16612809896469116,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.43734946846961975,0.16617771983146667,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.0025242501869797707,0.000632244162261486,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
19,0,19,quiet,0.00010484657104825601,0.00029340089531615376,8.94647091627121e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.46767663955688477,0.19234518706798553,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.4679158926010132,0.19240650534629822,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.002659474266692996,0.0006873682141304016,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
20,0,20,quiet,0.00010484657104825601,0.0002885367430280894,8.938275277614594e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.46012774109840393,0.18460804224014282,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.4603610336780548,0.18466559052467346,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.0026194769889116287,0.0006513390690088272,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
21,0,21,quiet,0.00010484657104825601,0.0002887459995690733,8.93808901309967e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.46015748381614685,0.18485324084758759,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.4603908658027649,0.18491078913211823,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.002624069806188345,0.0006537977606058121,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
22,0,22,quiet,0.00010484657104825601,0.00028639857191592455,8.952245116233826e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.4589397609233856,0.1846269965171814,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.459170401096344,0.18468408286571503,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.0026013946626335382,0.0006483402103185654,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
23,0,23,quiet,0.00010484657104825601,0.00029324961360543966,8.90735536813736e-05,7.931365689728409e-05,7.215967343654484e-05,7.390046084765345e-05,0.00014524257858283818,0.00013003713684156537,0.3158881366252899,0.463778555393219,0.18946422636508942,0.3345774710178375,0.2013198733329773,0.2397293895483017,0.37716439366340637,0.3830556571483612,0.3159371316432953,0.46401792764663696,0.1895250380039215,0.33459553122520447,0.2013014405965805,0.23970910906791687,0.377278208732605,0.38315215706825256,0.0010181139223277569,0.0026602360885590315,0.0006817802786827087,0.0008236095891334116,0.0006753026391379535,0.0006646473193541169,0.0013400776078924537,0.001345677999779582,0.1,2
