probe_idx,episode,t,probe_type,decoder_shift_ssss_vs_mmmm,policy_shift_ssss_vs_mmmm,policy_tvd_ssss_vs_mmmm,decoder_shift_ssss_vs_mmmm_a0,decoder_shift_ssss_vs_mmmm_a1,decoder_shift_ssss_vs_mmmm_a2,decoder_shift_ssss_vs_mmmm_a3,decoder_shift_ssss_vs_mmmm_a4,decoder_shift_ssss_vs_zero,policy_shift_ssss_vs_zero,policy_tvd_ssss_vs_zero,decoder_shift_ssss_vs_zero_a0,decoder_shift_ssss_vs_zero_a1,decoder_shift_ssss_vs_zero_a2,decoder_shift_ssss_vs_zero_a3,decoder_shift_ssss_vs_zero_a4,decoder_shift_mmmm_vs_zero,policy_shift_mmmm_vs_zero,policy_tvd_mmmm_vs_zero,decoder_shift_mmmm_vs_zero_a0,decoder_shift_mmmm_vs_zero_a1,decoder_shift_mmmm_vs_zero_a2,decoder_shift_mmmm_vs_zero_a3,decoder_shift_mmmm_vs_zero_a4,decoder_shift_ssss_vs_ssss_b,policy_shift_ssss_vs_ssss_b,policy_tvd_ssss_vs_ssss_b,decoder_shift_ssss_vs_ssss_b_a0,decoder_shift_ssss_vs_ssss_b_a1,decoder_shift_ssss_vs_ssss_b_a2,decoder_shift_ssss_vs_ssss_b_a3,decoder_shift_ssss_vs_ssss_b_a4,alpha,seed
10,0,10,quiet,7.92158316471614e-05,7.216985250124708e-05,2.037547528743744e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.37131500244140625,0.1458817422389984,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.371258020401001,0.14586755633354187,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.00040458812145516276,0.00022659078240394592,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
11,0,11,quiet,7.92158316471614e-05,7.643752178410068e-05,2.059340476989746e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.39478176832199097,0.16477301716804504,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.3947198688983917,0.16475623846054077,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.00042571089579723775,0.0002386048436164856,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
12,0,12,quiet,7.92158316471614e-05,7.385526987491176e-05,2.0517036318778992e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.38270214200019836,0.15416432917118073,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.38264331221580505,0.15414923429489136,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.00041497990605421364,0.00023265182971954346,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
13,0,13,quiet,7.92158316471614e-05,6.82553873048164e-05,2.0451843738555908e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.32899028062820435,0.11059094965457916,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.3289395272731781,0.11058098822832108,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.000372382317436859,0.00018976349383592606,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
14,0,14,quiet,7.92158316471614e-05,7.477103645214811e-05,2.055242657661438e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.3876033127307892,0.15954694151878357,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.38754311203956604,0.1595308780670166,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.00042105300235562027,0.00023703835904598236,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
15,0,15,quiet,7.92158316471614e-05,7.618725067004561e-05,2.088584005832672e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.39344918727874756,0.16421546041965485,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.39338797330856323,0.16419893503189087,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.000424511352321133,0.00023854151368141174,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
16,0,16,quiet,7.92158316471614e-05,7.638452370883897e-05,2.0677223801612854e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.3952038288116455,0.16766947507858276,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.3951421082019806,0.16765235364437103,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.000423796329414472,0.0002374686300754547,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
17,0,17,quiet,7.92158316471614e-05,7.565990381408483e-05,2.0733103156089783e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.3909014165401459,0.1622341275215149,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.39084041118621826,0.16221773624420166,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.0004220412520226091,0.00023703649640083313,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
18,0,18,quiet,7.92158316471614e-05,7.274348172359169e-05,2.0500272512435913e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.3751559555530548,0.1483151614665985,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.3750985562801361,0.14830081164836884,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.0004077955090906471,0.0002284422516822815,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
19,0,19,quiet,7.92158316471614e-05,7.575898052891716e-05,2.053380012512207e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.39265745878219604,0.16356196999549866,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.3925963044166565,0.1635454297065735,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.00042386740096844733,0.00023781321942806244,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
20,0,20,quiet,7.92158316471614e-05,7.808933878550306e-05,2.0701438188552856e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.40411344170570374,0.1754928082227707,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.4040502905845642,0.17547491192817688,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.0004266841569915414,0.00023688934743404388,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
21,0,21,quiet,7.92158316471614e-05,7.369413651758805e-05,2.0779669284820557e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.38044214248657227,0.15154455602169037,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.3803842067718506,0.15153008699417114,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.00041103907278738916,0.00022973865270614624,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
22,0,22,quiet,7.92158316471614e-05,7.470508717233315e-05,2.049654722213745e-05,8.427233842667192e-05,8.757852629059926e-05,8.572430670028552e-05,6.649902934441343e-05,6.952074909349903e-05,0.3183893859386444,0.3884511888027191,0.16115400195121765,0.336746484041214,0.20193623006343842,0.2394944727420807,0.3821651041507721,0.38636109232902527,0.31844204664230347,0.38839107751846313,0.16113781929016113,0.3368109464645386,0.2020062506198883,0.23956288397312164,0.38220110535621643,0.3864070773124695,0.000410818203818053,0.00041986213182099164,0.00023575685918331146,0.00037544858059845865,0.0003819709818344563,0.0003773333446588367,0.0004162212135270238,0.0004912982112728059,0.3,5
