n_perturb,pe_late,g_norm_late,alpha_late,zone0_frac,zone1_frac,zone2_frac,zone3_frac,zone4_frac
0,0.011966393115867202,2.9765828037460644,0.06450190079584718,0.0,0.0,0.033666666666666664,0.03833333333333333,0.928
1,0.012525739896994006,3.2519686284859977,0.273800249731789,0.0,0.0,0.04466666666666667,0.042166666666666665,0.9131666666666667
2,0.012563002096663695,2.8307664122780163,0.10118718672916294,0.0,0.0,0.04566666666666667,0.04716666666666667,0.9071666666666667
3,0.012716248252147731,2.91232049570481,0.11234690002848705,0.0,0.0,0.04616666666666667,0.042833333333333334,0.911
4,0.01283350280020386,2.894890986988942,0.12571852777401607,0.0,0.0,0.04533333333333334,0.03833333333333333,0.9163333333333333
5,0.012786746485178203,2.8780401014089585,0.1336520142406225,0.0,0.0,0.04633333333333333,0.04,0.9136666666666666
6,0.013191408786845084,2.8582466649214426,0.15063223825395108,0.0,0.0,0.05366666666666667,0.04766666666666667,0.8986666666666666
