alpha,valence,n_seeds,mean_pred_loss_median,mean_pred_loss_q1,mean_pred_loss_q3,mean_delta_g_median,mean_delta_g_q1,mean_delta_g_q3,mean_energy_median,mean_energy_q1,mean_energy_q3,mean_entropy_median,mean_entropy_q1,mean_entropy_q3,mean_alpha_median,mean_alpha_q1,mean_alpha_q3,g_shift_median,g_shift_q1,g_shift_q3,switches_median,switches_q1,switches_q3
0.05,SSSS,6,0.05228465042105408,0.05201940492527393,0.0530067752511952,0.03918729188346185,0.0383583660745043,0.03956709151394433,0.05783099457233415,0.056861689389390714,0.05891997783207585,1.3146040592636123,1.3099494404246408,1.3198905140021533,0.05000000074505806,0.05000000074505806,0.05000000074505806,2.810830812321769,2.7983549886279637,2.94062752922376,0.8159090909090909,0.7829545454545455,0.8181818181818182
0.05,MMMM,6,0.058000514366362714,0.05733675036084066,0.05945644179241639,0.04527173540845634,0.04439375755511529,0.045921896750315765,0.052599886930890696,0.051772434666992384,0.055288512845198125,1.3543483194076653,1.3486927869234122,1.3591300909749486,0.05000000074505806,0.05000000074505806,0.05000000074505806,2.655522557430797,2.6364894557330345,2.6847672719094486,0.6909090909090909,0.6590909090909091,0.7090909090909091
0.25,SSSS,6,0.04630201801941844,0.04261679307096589,0.047241037052624765,0.05211742215850818,0.035997162793813785,0.054675874781742885,0.04753678825009222,0.037656012201555886,0.050924601136527296,1.2974364370378582,1.2965974782335035,1.3027604021624182,0.25,0.25,0.25,2.0871351841423245,1.2055821176204415,2.128138012521797,0.7340909090909091,0.1647727272727273,0.9386363636363637
0.25,MMMM,6,0.04837559036217593,0.04755394243244788,0.04862733546502649,0.04996224668944506,0.0468471067377218,0.051876763654511354,0.04792008888761565,0.04568985456979081,0.04903400004907652,1.3104558630522454,1.3000667227149914,1.3134365471764045,0.25,0.25,0.25,2.0912136962016423,2.0272011771798133,2.129587195813656,0.865909090909091,0.8556818181818182,0.9102272727272727
0.5,SSSS,6,0.04542560671061424,0.0419197660962802,0.047126618956641456,0.06381633049458672,0.046099875169625125,0.06419832982005767,0.045566329785723975,0.03453600567505162,0.0484430849208061,1.3031220508136534,1.299564264872309,1.3053489081733154,0.5,0.5,0.5,1.8647294974989361,1.0335121994217236,2.0484117794368,0.8159090909090909,0.17500000000000002,1.030681818181818
0.5,MMMM,6,0.047820154791483355,0.04637894948817793,0.04822427111271989,0.06228299296381634,0.057487997259924935,0.06611427895617639,0.046611672526900225,0.04507658567942606,0.0477822518600636,1.3050180105720506,1.298854798141754,1.3134064414216713,0.5,0.5,0.5,1.993847570485539,1.897442296312915,2.0624437492754724,1.0136363636363637,0.8693181818181818,1.205681818181818
