alpha,condition_tag,dg_sup,dg_mis,c_sup,c_mis,p_right,p_left,p_stay,mean_entropy,final_x_mean,n_steps,n_cons_sup,n_cons_mis
0.1,sss_m,0.05340434484494229,0.013943330058827997,0.5267670154574499,-0.42189644598121345,0.44526666666666664,0.005566666666666667,0.11473333333333334,1.1253724526047706,22.0,30000,300,100
0.2,sss_m,0.06469665922534963,0.026840244624763726,0.5267670154574499,-0.42189644598121345,0.44516666666666665,0.0051,0.1147,1.1241482950369517,21.98,30000,300,100
0.3,sss_m,0.07690492065623403,0.04032268546521664,0.5267670154574499,-0.42189644598121345,0.4538,0.0054666666666666665,0.11276666666666667,1.123113867119948,21.99,30000,300,100
0.4,sss_m,0.10661297880268346,0.05406049876473844,0.5267670154574499,-0.42189644598121345,0.44926666666666665,0.005366666666666666,0.11746666666666666,1.1252446981747946,22.0,30000,300,100
0.5,sss_m,0.11371133239008487,0.07563496249727905,0.5267670154574499,-0.42189644598121345,0.4504,0.005366666666666666,0.11473333333333334,1.1254283390522004,22.0,30000,300,100
0.6,sss_m,0.12749490852778156,0.08925741123966872,0.5267670154574499,-0.42189644598121345,0.4519,0.005266666666666667,0.1171,1.125930123313268,22.0,30000,300,100
