n_perturb,pe_late,g_norm_late,alpha_late,zone0_frac,zone1_frac,zone2_frac,zone3_frac,zone4_frac
0,0.012479916913682245,3.0764573195377984,0.12049176543454329,0.0,0.0,0.043833333333333335,0.03333333333333333,0.9228333333333333
1,0.012345190551209573,3.023329671641191,0.08365263234823943,0.0,0.0,0.03866666666666667,0.04,0.9213333333333333
2,0.012652307714054284,2.9671928718884786,0.09627441299458345,0.0,0.00016666666666666666,0.056666666666666664,0.042333333333333334,0.9008333333333334
3,0.012940676647180226,2.930914835582177,0.104503360538433,0.0,0.0011666666666666668,0.04783333333333333,0.03783333333333333,0.9131666666666667
4,0.012749029669280086,2.812087725450595,0.1212148839943111,0.0,0.0,0.038,0.0345,0.9275
5,0.013219955598916082,2.900551836689313,0.13667536692072949,0.0,0.0008333333333333334,0.0675,0.044333333333333336,0.8873333333333333
6,0.013510471092158695,2.9839035918712615,0.15775608510772388,0.0,0.0008333333333333334,0.0635,0.05366666666666667,0.882
